中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.138.241,443,192.9.138.241,US,San Jose,中转,37 ms,769 Mbps,98508 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,154 ms,15 Mbps,1930 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,132 ms,115 Mbps,14745 kB/s
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,170 ms,68 Mbps,8773 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,41 ms,292 Mbps,37478 kB/s
158.101.11.22,443,2603:c020:e:4d00:dce9:917b:fdb8:24bc,US,Los Angeles,隧道,18 ms,64 Mbps,8249 kB/s
129.146.111.62,443,129.146.111.62,US,Los Angeles,中转,75 ms,872 Mbps,111616 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,170 ms,84 Mbps,10752 kB/s
8.219.98.13,443,8.219.98.13,SG,Singapore,中转,169 ms,80 Mbps,10240 kB/s
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,157 ms,17 Mbps,2253 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,161 ms,35 Mbps,4600 kB/s
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,169 ms,80 Mbps,10342 kB/s
47.90.141.204,443,91.149.239.62,US,Los Angeles,隧道,72 ms,32 Mbps,4131 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,21 ms,912 Mbps,116736 kB/s
8.212.9.32,443,47.238.15.95,HK,Hong Kong,隧道,154 ms,6 Mbps,800 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,169 ms,82 Mbps,10547 kB/s
8.219.103.65,443,8.219.103.65,SG,Singapore,中转,169 ms,82 Mbps,10547 kB/s
165.1.65.75,443,165.1.65.75,US,San Jose,中转,13 ms,444 Mbps,56934 kB/s
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,168 ms,77 Mbps,9932 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,170 ms,84 Mbps,10752 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,170 ms,69 Mbps,8851 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,168 ms,101 Mbps,13004 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,132 ms,123 Mbps,15769 kB/s
