中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.70.101.1,443,2602:ffe4:407:20d9:0:3509:53d5:7c2f,SG,Singapore,隧道,234 ms,63 Mbps,8106 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,226 ms,67 Mbps,8586 kB/s
130.162.176.157,443,2606:f240:f00:6acf:0:9610:330e:d25a,US,Amsterdam,隧道,91 ms,230 Mbps,29491 kB/s
141.148.226.105,443,2a0b:21c0:100a:1b6:0:dfe3:754f:32e1,DE,Frankfurt,隧道,94 ms,127 Mbps,16281 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,214 ms,37 Mbps,4856 kB/s
193.123.33.82,443,2a0b:21c0:1007:1c9:0:d461:3c66:2fb9,DE,Frankfurt,隧道,93 ms,163 Mbps,20889 kB/s
130.162.210.231,443,2a0b:21c0:1007:1ca:0:e926:3cbf:9104,DE,Frankfurt,隧道,215 ms,205 Mbps,26316 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,211 ms,17 Mbps,2232 kB/s
143.47.241.112,443,2a0b:21c0:100a:1b6:0:654a:bcac:5e5e,DE,Frankfurt,隧道,93 ms,134 Mbps,17203 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,225 ms,66 Mbps,8461 kB/s
150.230.21.254,443,163.123.193.8,DE,Frankfurt,隧道,104 ms,194 Mbps,24883 kB/s
130.162.50.130,443,2606:f240:f00:6f50:0:485a:66c4:5af8,US,Frankfurt,隧道,91 ms,232 Mbps,29798 kB/s
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,283 ms,66 Mbps,8516 kB/s
152.70.49.66,443,163.123.193.24,DE,Frankfurt,隧道,176 ms,118 Mbps,15155 kB/s
152.70.177.153,443,2a0b:21c0:1007:ca:0:644f:8af6:6a93,DE,Frankfurt,隧道,91 ms,213 Mbps,27340 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,88 ms,43 Mbps,5594 kB/s
144.24.187.125,443,2a0b:21c0:1007:c7:0:ae2c:9e58:b275,DE,Frankfurt,隧道,183 ms,152 Mbps,19558 kB/s
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,223 ms,63 Mbps,8076 kB/s
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,225 ms,61 Mbps,7866 kB/s
141.147.106.74,443,2a0b:21c0:1007:1c9:0:2b4f:e127:dbb5,DE,Frankfurt,隧道,93 ms,204 Mbps,26214 kB/s
132.145.134.230,443,132.145.134.230,US,,中转,69 ms,635 Mbps,81305 kB/s
47.245.33.33,443,47.245.33.33,JP,Tokyo,中转,240 ms,1 Mbps,137 kB/s
144.21.38.42,443,2a0b:21c0:100a:1b4:0:b9f4:2b09:b78e,DE,Frankfurt,隧道,193 ms,125 Mbps,16076 kB/s
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,353 ms,62 Mbps,8015 kB/s
143.47.237.9,443,98.98.156.22,AE,Frankfurt,隧道,93 ms,113 Mbps,14540 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,226 ms,63 Mbps,8080 kB/s
8.219.126.240,443,8.219.126.240,SG,Singapore,中转,227 ms,62 Mbps,7936 kB/s
144.21.62.226,443,2a0b:21c0:100a:1b3:0:2568:851b:224,DE,Frankfurt,隧道,95 ms,121 Mbps,15564 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,77 ms,224 Mbps,28672 kB/s
144.24.175.179,443,2a0b:21c0:100a:1b3:0:7fd0:b8fe:9617,DE,Frankfurt,隧道,154 ms,120 Mbps,15462 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,33 ms,498 Mbps,63795 kB/s
152.70.191.58,443,2a0b:21c0:1007:cb:0:6ea6:5de2:299a,DE,Frankfurt,隧道,91 ms,152 Mbps,19456 kB/s
18.191.122.211,443,3.13.180.72,US,,隧道,25 ms,696 Mbps,89088 kB/s
192.9.250.241,443,192.9.250.241,US,,中转,73 ms,75 Mbps,9695 kB/s
146.56.100.113,443,2602:ffe4:407:20da:0:e4c1:de20:d7d8,SG,Singapore,隧道,238 ms,59 Mbps,7650 kB/s
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,226 ms,70 Mbps,8985 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,226 ms,66 Mbps,8472 kB/s
132.226.130.40,443,2a0b:21c0:100a:1b0:0:ff12:2cee:1a20,DE,Frankfurt,隧道,154 ms,132 Mbps,16896 kB/s
141.148.247.219,443,2606:f240:f00:46c4:0:d250:ee0f:5413,US,Frankfurt,隧道,94 ms,125 Mbps,16076 kB/s
141.147.58.59,443,163.123.193.9,DE,Frankfurt,隧道,100 ms,217 Mbps,27852 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,70 ms,250 Mbps,32051 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,225 ms,64 Mbps,8270 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,20 ms,85 Mbps,10956 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,30 ms,377 Mbps,48332 kB/s
193.122.2.88,443,163.123.193.24,DE,Frankfurt,隧道,91 ms,120 Mbps,15360 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,285 ms,55 Mbps,7113 kB/s
