中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
146.56.146.67,443,146.56.146.67,KR,Tokyo,中转,258 ms,66 Mbps,8537 kB/s,8537.0
8.219.170.232,443,8.219.170.232,SG,Singapore,中转,211 ms,66 Mbps,8518 kB/s,8518.0
152.69.234.162,443,2602:ffe4:407:21d9:0:4701:9f48:9584,SG,Singapore,隧道,234 ms,66 Mbps,8511 kB/s,8511.0
8.219.199.220,443,8.219.199.220,SG,Singapore,中转,369 ms,66 Mbps,8454 kB/s,8454.0
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,211 ms,65 Mbps,8424 kB/s,8424.0
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,264 ms,65 Mbps,8421 kB/s,8421.0
8.219.98.13,443,8.219.98.13,SG,Singapore,中转,287 ms,65 Mbps,8360 kB/s,8360.0
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,207 ms,64 Mbps,8313 kB/s,8313.0
150.230.149.208,443,150.230.149.208,DE,,中转,189 ms,64 Mbps,8292 kB/s,8292.0
141.147.186.227,443,141.147.186.227,JP,Tokyo,中转,203 ms,64 Mbps,8266 kB/s,8266.0
8.219.54.203,443,8.219.54.203,SG,Singapore,中转,207 ms,64 Mbps,8234 kB/s,8234.0
8.219.103.65,443,8.219.103.65,SG,Singapore,中转,212 ms,63 Mbps,8127 kB/s,8127.0
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,97 ms,63 Mbps,8068 kB/s,8068.0
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,215 ms,63 Mbps,8065 kB/s,8065.0
8.219.109.183,443,8.219.109.183,SG,Singapore,中转,217 ms,61 Mbps,7912 kB/s,7912.0
8.222.222.64,443,8.222.222.64,SG,Singapore,中转,261 ms,60 Mbps,7701 kB/s,7701.0
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,216 ms,59 Mbps,7665 kB/s,7665.0
47.243.107.148,443,47.243.107.148,HK,Hong Kong,中转,195 ms,59 Mbps,7631 kB/s,7631.0
47.88.15.127,443,47.88.15.127,US,San Jose,中转,86 ms,59 Mbps,7621 kB/s,7621.0
64.110.88.46,443,64.110.88.46,KR,Seoul,中转,183 ms,58 Mbps,7549 kB/s,7549.0
8.219.51.211,443,8.219.51.211,SG,Singapore,中转,207 ms,57 Mbps,7407 kB/s,7407.0
129.159.241.172,443,129.159.241.172,DE,,中转,110 ms,57 Mbps,7394 kB/s,7394.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,205 ms,55 Mbps,7145 kB/s,7145.0
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,86 ms,54 Mbps,6983 kB/s,6983.0
43.205.48.107,443,43.205.48.107,IN,,中转,223 ms,54 Mbps,6925 kB/s,6925.0
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,178 ms,51 Mbps,6610 kB/s,6610.0
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,53 ms,50 Mbps,6506 kB/s,6506.0
158.101.11.22,443,2603:c020:e:4d00:dce9:917b:fdb8:24bc,US,Los Angeles,隧道,65 ms,50 Mbps,6420 kB/s,6420.0
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,213 ms,48 Mbps,6205 kB/s,6205.0
144.24.85.158,443,144.24.85.158,KR,Seoul,中转,177 ms,47 Mbps,6067 kB/s,6067.0
144.24.188.240,443,144.24.188.240,DE,Frankfurt,中转,106 ms,47 Mbps,6051 kB/s,6051.0
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,143 ms,46 Mbps,6002 kB/s,6002.0
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,106 ms,46 Mbps,5906 kB/s,5906.0
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,32 ms,45 Mbps,5814 kB/s,5814.0
129.159.241.172,443,129.159.241.172,DE,,中转,186 ms,44 Mbps,5732 kB/s,5732.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,141 ms,43 Mbps,5568 kB/s,5568.0
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,106 ms,41 Mbps,5300 kB/s,5300.0
193.122.61.167,443,193.122.61.167,DE,,中转,106 ms,41 Mbps,5267 kB/s,5267.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,277 ms,40 Mbps,5218 kB/s,5218.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,113 ms,40 Mbps,5132 kB/s,5132.0
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,225 ms,39 Mbps,5066 kB/s,5066.0
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,335 ms,39 Mbps,5019 kB/s,5019.0
158.180.231.216,443,2603:c027:1:5610:e035:d6ae:8635:ee8d,IT,,隧道,116 ms,39 Mbps,5015 kB/s,5015.0
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,100 ms,36 Mbps,4706 kB/s,4706.0
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,210 ms,36 Mbps,4667 kB/s,4667.0
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,214 ms,34 Mbps,4455 kB/s,4455.0
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,195 ms,34 Mbps,4418 kB/s,4418.0
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,207 ms,33 Mbps,4232 kB/s,4232.0
138.2.61.180,443,104.28.206.113,JP,Osaka,隧道,203 ms,32 Mbps,4220 kB/s,4220.0
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,358 ms,31 Mbps,4074 kB/s,4074.0
140.83.86.166,443,140.83.86.166,JP,Osaka,中转,210 ms,31 Mbps,3998 kB/s,3998.0
155.248.202.141,443,155.248.202.141,US,San Jose,中转,52 ms,29 Mbps,3812 kB/s,3812.0
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,317 ms,29 Mbps,3799 kB/s,3799.0
193.123.81.105,443,193.123.81.105,AE,Paris,中转,215 ms,28 Mbps,3691 kB/s,3691.0
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,86 ms,28 Mbps,3626 kB/s,3626.0
47.245.33.33,443,47.245.33.33,JP,Tokyo,中转,281 ms,27 Mbps,3501 kB/s,3501.0
43.204.146.16,443,43.204.146.16,IN,,中转,229 ms,26 Mbps,3333 kB/s,3333.0
8.220.202.59,443,8.220.202.59,KR,Seoul,中转,172 ms,22 Mbps,2927 kB/s,2927.0
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,170 ms,22 Mbps,2899 kB/s,2899.0
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,311 ms,21 Mbps,2734 kB/s,2734.0
44.230.218.23,443,54.212.217.183,US,,隧道,84 ms,19 Mbps,2508 kB/s,2508.0
146.56.132.247,443,146.56.132.247,KR,Tokyo,中转,340 ms,17 Mbps,2259 kB/s,2259.0
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,204 ms,12 Mbps,1610 kB/s,1610.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,205 ms,9 Mbps,1158 kB/s,1158.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,28 ms,7 Mbps,971 kB/s,971.0
47.242.41.222,443,47.242.41.222,HK,Hong Kong,中转,191 ms,5 Mbps,705 kB/s,705.0
152.70.248.96,443,2a09:bac1:3f20:90::299:3b,KR,Seoul,隧道,227 ms,2 Mbps,339 kB/s,339.0
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,200 ms,2 Mbps,300 kB/s,300.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,216 ms,2 Mbps,298 kB/s,298.0
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,209 ms,2 Mbps,266 kB/s,266.0
47.241.209.61,443,8.222.175.6,SG,,隧道,219 ms,1 Mbps,245 kB/s,245.0
47.57.14.118,443,47.254.95.194,US,San Jose,隧道,196 ms,1 Mbps,207 kB/s,207.0
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,199 ms,1 Mbps,154 kB/s,154.0
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,213 ms,1 Mbps,136 kB/s,136.0
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,202 ms,0 Mbps,115 kB/s,115.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,184 ms,0 Mbps,66 kB/s,66.0
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,190 ms,0 Mbps,33 kB/s,33.0
8.212.9.32,443,47.238.15.107,HK,Hong Kong,隧道,1208 ms,0 Mbps,29 kB/s,29.0
47.90.141.204,443,91.149.239.234,US,Los Angeles,隧道,21 ms,0 Mbps,21 kB/s,21.0
8.211.55.176,443,8.211.55.176,DE,Frankfurt,中转,107 ms,0 Mbps,3 kB/s,3.0
8.222.193.65,443,8.222.193.65,67 Mbps,8691 kB/s,,,,,
