中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
141.148.234.255,443,2a0b:21c0:100a:1fa:0:f91d:54cd:4d90,DE,Frankfurt,隧道,154 ms,101 Mbps,13004 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,170 ms,27 Mbps,3536 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,169 ms,62 Mbps,8044 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,169 ms,68 Mbps,8756 kB/s
143.47.244.2,443,2606:f240:f00:83a7:0:33a0:5f86:2fd5,US,Frankfurt,隧道,153 ms,100 Mbps,12902 kB/s
144.21.37.60,443,2a0b:21c0:100a:1b0:0:1c0c:5ade:e280,DE,Frankfurt,隧道,155 ms,81 Mbps,10444 kB/s
47.254.150.50,443,2606:f240:f00:5a42:0:efad:44d8:cc43,US,Frankfurt,隧道,161 ms,110 Mbps,14131 kB/s
150.230.120.2,443,2606:f240:f00:5a42:0:45b8:d0a3:53a6,US,Frankfurt,隧道,247 ms,116 Mbps,14848 kB/s
141.144.246.229,443,2a0b:21c0:100a:1b1:0:84fd:1206:4404,DE,Frankfurt,隧道,196 ms,108 Mbps,13824 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,58 ms,38 Mbps,4946 kB/s
192.9.132.79,443,192.9.132.79,US,San Jose,中转,15 ms,1272 Mbps,162816 kB/s
144.21.36.48,443,2606:f240:f00:83a7:0:4f30:e386:416c,US,Frankfurt,隧道,156 ms,101 Mbps,13004 kB/s
143.47.233.37,443,98.98.156.14,AE,Frankfurt,隧道,156 ms,96 Mbps,12390 kB/s
150.136.121.64,443,2603:c020:4012:4388:c5e:f6e5:73e6:1535,US,Ashburn,隧道,74 ms,46 Mbps,5947 kB/s
138.3.255.182,443,2a0b:21c0:100a:1b4:0:92a0:921b:a19d,DE,Frankfurt,隧道,155 ms,99 Mbps,12697 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,254 ms,82 Mbps,10547 kB/s
8.219.126.240,443,8.219.126.240,SG,Singapore,中转,169 ms,79 Mbps,10137 kB/s
141.147.97.170,443,2606:f240:f00:6acf:0:6905:f87e:a544,US,Frankfurt,隧道,155 ms,107 Mbps,13721 kB/s
158.101.205.6,443,2a0b:21c0:100a:1b5:0:4a34:29bc:9f6e,DE,Frankfurt,隧道,155 ms,84 Mbps,10854 kB/s
130.162.183.68,443,98.98.166.190,AE,Frankfurt,隧道,157 ms,100 Mbps,12902 kB/s
8.222.226.92,443,8.222.226.92,SG,Singapore,中转,169 ms,63 Mbps,8111 kB/s
141.144.192.162,443,2a0b:21c0:100a:1fa:0:c37c:3150:8c95,DE,Frankfurt,隧道,154 ms,107 Mbps,13721 kB/s
47.90.141.204,443,104.166.125.210,US,Los Angeles,隧道,70 ms,31 Mbps,4070 kB/s
131.186.33.118,443,131.186.33.118,JP,Tokyo,中转,184 ms,35 Mbps,4600 kB/s
