中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
193.123.61.132,443,2606:f240:f00:6acf:0:ec4d:fc09:ecde,US,Frankfurt,隧道,153 ms,120 Mbps,15462 kB/s
143.47.250.101,443,2606:f240:f00:dd8d:0:f9bf:e488:2d17,US,Frankfurt,隧道,153 ms,120 Mbps,15462 kB/s
141.148.239.239,443,2a0b:21c0:1007:c8:0:7fe0:a413:830f,DE,Frankfurt,隧道,154 ms,117 Mbps,15052 kB/s
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,161 ms,110 Mbps,14131 kB/s
132.226.131.96,443,2a0b:21c0:100a:1b7:0:b4ea:5b87:959a,DE,Frankfurt,隧道,156 ms,108 Mbps,13926 kB/s
144.24.74.51,443,144.24.74.51,KR,Seoul,中转,132 ms,135 Mbps,17305 kB/s
132.145.236.199,443,2a0b:21c0:100a:1fa:0:9c09:f827:5c4e,DE,Frankfurt,隧道,153 ms,115 Mbps,14745 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,36 ms,307 Mbps,39321 kB/s
144.24.72.240,443,2602:ffe4:407:20d9:0:43f3:3fc2:374,SG,Singapore,隧道,193 ms,79 Mbps,10137 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,155 ms,42 Mbps,5501 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,150 ms,96 Mbps,12390 kB/s
141.144.195.64,443,2a0b:21c0:1007:1c9:0:b828:ab5c:94d4,DE,Amsterdam,隧道,153 ms,102 Mbps,13107 kB/s
141.148.247.13,443,2606:f240:f00:46c4:0:d1db:82ab:5f29,US,Frankfurt,隧道,224 ms,77 Mbps,9950 kB/s
150.230.112.174,443,2606:f240:f00:a683:0:2bf5:7840:5388,US,Frankfurt,隧道,224 ms,106 Mbps,13619 kB/s
141.147.97.37,443,141.147.97.37,GB,London,中转,141 ms,120 Mbps,15360 kB/s
144.21.50.146,443,2a0b:21c0:1007:1c7:0:b7d5:b867:8e4b,DE,Frankfurt,隧道,225 ms,103 Mbps,13209 kB/s
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,171 ms,86 Mbps,11059 kB/s
144.24.160.57,443,98.98.166.178,AE,Frankfurt,隧道,154 ms,120 Mbps,15462 kB/s
130.162.243.61,443,2606:f240:f00:46c4:0:7ee9:1d6:38a4,US,Frankfurt,隧道,153 ms,89 Mbps,11468 kB/s
150.230.147.106,443,2a0b:21c0:100a:1b1:0:b94c:fbeb:570,DE,Frankfurt,隧道,154 ms,108 Mbps,13824 kB/s
158.180.68.56,443,158.180.68.56,KR,Seoul,中转,132 ms,141 Mbps,18124 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,200 ms,31 Mbps,4014 kB/s
193.122.62.71,443,2a0b:21c0:100a:1b3:0:c68d:669a:9fea,DE,Frankfurt,隧道,155 ms,106 Mbps,13619 kB/s
143.47.243.45,443,2a0b:21c0:100a:1b0:0:b84b:ace7:2a3,DE,Frankfurt,隧道,155 ms,113 Mbps,14540 kB/s
144.24.83.117,443,144.24.83.117,KR,Seoul,中转,131 ms,80 Mbps,10240 kB/s
141.148.241.162,443,2a0b:21c0:1007:c8:0:fe12:87a2:43af,DE,Frankfurt,隧道,156 ms,114 Mbps,14643 kB/s
141.148.225.116,443,2a0b:21c0:1007:1cb:0:aff:7c23:38b2,DE,Frankfurt,隧道,232 ms,95 Mbps,12185 kB/s
138.2.7.60,443,2602:ffe4:407:20da:0:1a62:f9ae:713a,SG,Singapore,隧道,177 ms,91 Mbps,11673 kB/s
193.123.38.39,443,2a0b:21c0:100a:1b4:0:3456:e02f:97c1,DE,Frankfurt,隧道,156 ms,100 Mbps,12800 kB/s
150.230.144.54,443,98.98.156.6,AE,Frankfurt,隧道,229 ms,108 Mbps,13824 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,85 ms,65 Mbps,8411 kB/s
141.147.100.32,443,98.98.156.14,AE,Frankfurt,隧道,154 ms,114 Mbps,14643 kB/s
141.147.186.227,443,141.147.186.227,JP,Tokyo,中转,151 ms,112 Mbps,14336 kB/s
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,148 ms,82 Mbps,10547 kB/s
144.21.59.67,443,2a0b:21c0:100a:1b5:0:326:4761:f734,DE,Frankfurt,隧道,158 ms,102 Mbps,13107 kB/s
130.162.60.14,443,2a0b:21c0:100a:1fa:0:f31a:964d:c779,DE,Frankfurt,隧道,153 ms,106 Mbps,13619 kB/s
141.147.13.15,443,2a0b:21c0:1007:c9:0:a67a:cafc:3489,DE,Frankfurt,隧道,155 ms,110 Mbps,14131 kB/s
138.3.246.0,443,2a0b:21c0:100a:1b3:0:996:e6d1:4a5d,DE,Frankfurt,隧道,153 ms,104 Mbps,13414 kB/s
8.219.109.183,443,8.219.109.183,SG,Singapore,中转,233 ms,70 Mbps,8968 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,170 ms,69 Mbps,8880 kB/s
152.67.133.217,443,2606:f240:f00:46c4:0:c3d5:da88:63ab,US,Frankfurt,隧道,153 ms,67 Mbps,8581 kB/s
144.21.51.110,443,144.21.51.110,GB,London,中转,143 ms,110 Mbps,14131 kB/s
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,151 ms,86 Mbps,11059 kB/s
